epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.372,0.78825,1.89116,0.98018,1,0.04066,0.77125,0.62705,0.66277,2.9767,0.85313,0.000651163,0.000651163,0.000651163
2,237.162,0.76785,1.16305,0.96343,0.86001,0.59048,0.73623,0.52082,0.89954,2.50997,0.93493,0.00129174,0.00129174,0.00129174
3,353.092,0.8328,1.01595,0.98168,0.59639,0.68254,0.60705,0.44163,0.86166,1.78637,0.93537,0.00190591,0.00190591,0.00190591
4,467.626,0.78687,0.87343,0.96455,0.94671,0.93061,0.9669,0.77718,0.76714,1.03419,0.90878,0.0018812,0.0018812,0.0018812
5,576.488,0.71902,0.73315,0.95938,0.98561,0.90952,0.96089,0.7982,0.66024,0.80572,0.87913,0.0018416,0.0018416,0.0018416
6,684.891,0.7109,0.67792,0.94801,0.97256,0.92857,0.9718,0.82251,0.62473,0.79353,0.86641,0.001802,0.001802,0.001802
7,792.612,0.66872,0.61967,0.94467,0.96498,0.91858,0.96895,0.77838,0.7474,0.72769,0.90258,0.0017624,0.0017624,0.0017624
8,903.403,0.64593,0.55869,0.92965,0.98345,0.9,0.93704,0.80127,0.67877,0.69051,0.8825,0.0017228,0.0017228,0.0017228
9,1011.12,0.6405,0.52739,0.92823,0.98297,0.92857,0.98178,0.82732,0.62396,0.58631,0.8527,0.0016832,0.0016832,0.0016832
10,1118.61,0.63433,0.52045,0.92723,0.96211,0.9619,0.98319,0.83073,0.60201,0.53777,0.85141,0.0016436,0.0016436,0.0016436
11,1229.32,0.62097,0.48462,0.92762,0.9801,0.93805,0.97496,0.84295,0.56266,0.50508,0.84368,0.001604,0.001604,0.001604
12,1341.29,0.60638,0.4619,0.91585,0.97504,0.94762,0.97758,0.84197,0.55028,0.4827,0.84204,0.0015644,0.0015644,0.0015644
13,1453.01,0.57898,0.45109,0.9137,0.98957,0.90361,0.96225,0.8124,0.6375,0.52949,0.86137,0.0015248,0.0015248,0.0015248
14,1564.16,0.59477,0.4516,0.91521,0.98969,0.91395,0.97109,0.84558,0.56891,0.50851,0.85499,0.0014852,0.0014852,0.0014852
15,1675.08,0.5659,0.44713,0.91325,0.96368,0.96667,0.98241,0.86567,0.53149,0.42945,0.82884,0.0014456,0.0014456,0.0014456
16,1785.7,0.57006,0.4158,0.90573,0.98996,0.93871,0.98224,0.85007,0.56846,0.43598,0.84493,0.001406,0.001406,0.001406
17,1897.89,0.56662,0.41047,0.89585,0.98003,0.93474,0.97249,0.85458,0.5441,0.44613,0.83905,0.0013664,0.0013664,0.0013664
18,2008.61,0.56289,0.39581,0.89722,0.97604,0.93333,0.96958,0.84249,0.57611,0.46682,0.84412,0.0013268,0.0013268,0.0013268
19,2119.05,0.55734,0.39362,0.90476,0.97498,0.95714,0.98054,0.86288,0.53773,0.41686,0.83758,0.0012872,0.0012872,0.0012872
20,2229.49,0.52465,0.38187,0.89314,0.9804,0.95257,0.98255,0.85176,0.57203,0.43568,0.84385,0.0012476,0.0012476,0.0012476
21,2340.12,0.52169,0.38204,0.8893,0.9897,0.9619,0.98853,0.87735,0.50751,0.37889,0.8272,0.001208,0.001208,0.001208
22,2451.13,0.52376,0.37203,0.88402,0.9848,0.92574,0.97359,0.86569,0.51129,0.41293,0.83097,0.0011684,0.0011684,0.0011684
23,2559.97,0.54482,0.37562,0.90343,0.9838,0.94762,0.98248,0.86314,0.54183,0.39444,0.83222,0.0011288,0.0011288,0.0011288
24,2671.76,0.52669,0.37419,0.88376,0.99009,0.9381,0.96851,0.85967,0.52469,0.41465,0.82601,0.0010892,0.0010892,0.0010892
25,2783.99,0.54131,0.36986,0.89413,0.97902,0.94762,0.98532,0.88774,0.48735,0.35935,0.81596,0.0010496,0.0010496,0.0010496
26,2893.21,0.51015,0.35706,0.88384,0.98511,0.94483,0.97856,0.87309,0.51696,0.38006,0.81949,0.00101,0.00101,0.00101
27,3004.08,0.50741,0.34748,0.88781,0.97552,0.94897,0.97981,0.87441,0.4912,0.39055,0.81917,0.0009704,0.0009704,0.0009704
28,3116.83,0.50356,0.35144,0.87842,0.97972,0.92021,0.97287,0.87456,0.50346,0.39476,0.81961,0.0009308,0.0009308,0.0009308
29,3225.04,0.50203,0.34882,0.8732,0.97975,0.9216,0.97256,0.87566,0.48768,0.41762,0.81982,0.0008912,0.0008912,0.0008912
30,3336.29,0.48649,0.33974,0.87568,0.99018,0.95996,0.98376,0.86768,0.52332,0.34822,0.82475,0.0008516,0.0008516,0.0008516
31,3447.31,0.4958,0.33833,0.87638,0.97852,0.96667,0.98424,0.88732,0.48056,0.33838,0.81409,0.000812,0.000812,0.000812
32,3556.21,0.47486,0.32203,0.8754,0.98075,0.97066,0.98546,0.89524,0.47483,0.34237,0.81172,0.0007724,0.0007724,0.0007724
33,3667.12,0.47186,0.32263,0.86307,0.97975,0.96667,0.98631,0.89936,0.47337,0.33611,0.81373,0.0007328,0.0007328,0.0007328
34,3777.37,0.46932,0.313,0.86725,0.9853,0.95785,0.98406,0.88729,0.49991,0.33765,0.82447,0.0006932,0.0006932,0.0006932
35,3887.15,0.43923,0.30658,0.85787,0.99761,0.94286,0.98467,0.89386,0.49279,0.35773,0.81928,0.0006536,0.0006536,0.0006536
36,3995.99,0.42988,0.29707,0.86372,0.98409,0.94762,0.98662,0.8943,0.49531,0.32721,0.82699,0.000614,0.000614,0.000614
37,4106.9,0.43323,0.28917,0.86375,0.97093,0.95428,0.9847,0.89811,0.46722,0.33838,0.80877,0.0005744,0.0005744,0.0005744
38,4214.68,0.4481,0.30326,0.86326,0.96692,0.97424,0.98527,0.89986,0.46132,0.32061,0.8069,0.0005348,0.0005348,0.0005348
39,4325.58,0.43873,0.30357,0.85874,0.98054,0.95995,0.98131,0.89886,0.4568,0.3529,0.80443,0.0004952,0.0004952,0.0004952
40,4437.12,0.43316,0.29117,0.86454,0.98542,0.96541,0.9818,0.90767,0.45172,0.32103,0.80471,0.0004556,0.0004556,0.0004556
41,4546.18,0.36424,0.26076,0.81888,0.97289,0.94286,0.97802,0.89134,0.46994,0.41115,0.81085,0.000416,0.000416,0.000416
42,4655.44,0.35378,0.24695,0.8014,0.98888,0.94286,0.9835,0.90306,0.46143,0.35276,0.8085,0.0003764,0.0003764,0.0003764
43,4763.5,0.34411,0.24452,0.81326,0.98004,0.95714,0.98046,0.88908,0.47583,0.36469,0.81007,0.0003368,0.0003368,0.0003368
44,4870.79,0.34426,0.23981,0.79937,0.99014,0.95599,0.98101,0.90228,0.46117,0.33356,0.80586,0.0002972,0.0002972,0.0002972
45,4979.47,0.33654,0.23452,0.79942,0.9901,0.95224,0.98109,0.90559,0.44633,0.31693,0.80546,0.0002576,0.0002576,0.0002576
46,5089.18,0.32816,0.2267,0.79735,0.98521,0.95151,0.98184,0.91001,0.44506,0.3253,0.80256,0.000218,0.000218,0.000218
47,5203.39,0.32793,0.22453,0.8137,0.9851,0.95238,0.98274,0.9043,0.44927,0.32434,0.80261,0.0001784,0.0001784,0.0001784
48,5316.35,0.30914,0.21613,0.7948,0.99,0.94264,0.98288,0.9069,0.4605,0.3235,0.8042,0.0001388,0.0001388,0.0001388
49,5425.29,0.30865,0.20769,0.79825,0.98999,0.94178,0.98314,0.91095,0.44287,0.31961,0.80138,9.92e-05,9.92e-05,9.92e-05
50,5537.6,0.30788,0.21103,0.79799,0.97906,0.95238,0.98339,0.91426,0.43784,0.31952,0.80124,5.96e-05,5.96e-05,5.96e-05
